               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.035744,            0.015032,                   0,             0.78541,             0.86316,             0.85733,             0.43223,            0.041177,           0.0094771,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.035259,            0.013518,                   0,             0.77161,             0.85353,             0.85527,             0.47212,            0.039746,           0.0094034,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.037172,            0.014099,                   0,             0.86016,             0.73684,             0.84218,             0.45321,            0.036086,           0.0095293,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.035403,            0.013628,                   0,              0.8552,             0.73684,             0.83467,             0.44635,            0.037051,           0.0095886,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.034715,            0.012765,                   0,             0.85037,             0.74737,               0.825,             0.45237,            0.038952,           0.0093956,                   0,             0.00604,             0.00604,             0.00604
                  62,             0.03471,            0.012744,                   0,             0.85795,             0.76296,             0.83552,             0.46217,            0.039503,           0.0096942,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.038378,             0.01398,                   0,             0.86549,             0.74504,             0.82004,             0.42523,            0.040181,           0.0093498,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.033918,            0.013487,                   0,             0.86737,             0.75726,             0.83878,             0.44775,            0.040384,           0.0089909,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.032938,            0.013352,                   0,             0.88018,              0.7733,             0.84977,             0.45225,            0.038737,           0.0089692,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.035044,            0.012869,                   0,             0.84003,             0.77388,             0.83317,             0.45299,            0.039755,           0.0091504,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.032729,            0.013789,                   0,              0.8186,             0.78947,             0.82174,             0.43975,             0.03681,           0.0089969,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.033512,            0.013477,                   0,             0.81855,             0.80727,             0.81966,             0.43487,            0.038315,            0.009139,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.031168,            0.012156,                   0,             0.80781,             0.78947,             0.81635,              0.4197,            0.038228,           0.0091274,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.033379,            0.012946,                   0,             0.85337,             0.73513,             0.80264,             0.43402,            0.039588,           0.0093099,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.033311,            0.013556,                   0,             0.89584,             0.71579,             0.81588,             0.45245,            0.040695,           0.0094565,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.032679,            0.013974,                   0,             0.81627,             0.77895,             0.81677,             0.45324,            0.038035,           0.0093157,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.032857,            0.013058,                   0,             0.87254,             0.71579,             0.80596,              0.4427,            0.035657,           0.0092067,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.031124,            0.011977,                   0,             0.88783,             0.74737,             0.81528,              0.4648,            0.039067,           0.0091999,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.031235,            0.013714,                   0,             0.88344,             0.73684,             0.80251,             0.43979,            0.037057,           0.0092106,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.031912,            0.013345,                   0,             0.90419,             0.74737,             0.80466,             0.45396,            0.038468,           0.0092387,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.031436,            0.012844,                   0,             0.87569,             0.73684,              0.7971,             0.44618,            0.034162,           0.0093801,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.033675,            0.012819,                   0,             0.86954,             0.74737,             0.78403,             0.43715,            0.034227,           0.0094072,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.031396,            0.012398,                   0,             0.86834,             0.75789,             0.77486,             0.42882,            0.035502,           0.0095164,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.031217,            0.012346,                   0,             0.88905,             0.75918,             0.79666,             0.43093,            0.036662,           0.0096175,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.029177,            0.011739,                   0,             0.90677,             0.74737,             0.79702,             0.41516,            0.037158,           0.0098543,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.030264,            0.011777,                   0,             0.90991,             0.73684,             0.79663,             0.44383,            0.035228,           0.0097265,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.030117,            0.011506,                   0,             0.87715,              0.7516,             0.78761,             0.45134,            0.036351,           0.0098061,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.029814,            0.013795,                   0,             0.85843,             0.76595,             0.78966,             0.44374,            0.034971,           0.0099967,                   0,            0.004522,            0.004522,            0.004522
                  85,             0.02876,            0.011264,                   0,             0.85157,             0.77895,              0.8063,             0.44779,            0.036347,            0.010049,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.028953,            0.012825,                   0,             0.85568,             0.76842,             0.80005,             0.44414,            0.036316,           0.0099957,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.029982,            0.012422,                   0,             0.86825,             0.76842,             0.81546,             0.45466,            0.035196,             0.01006,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.029336,            0.012428,                   0,             0.86764,             0.76842,             0.79892,             0.44619,            0.037667,           0.0098882,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.028126,            0.011721,                   0,             0.86211,             0.72396,             0.78269,             0.44722,            0.038354,            0.010018,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.029753,            0.013146,                   0,             0.86661,             0.72632,             0.76817,             0.45796,            0.038572,            0.010136,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.027411,            0.010907,                   0,             0.85099,             0.72141,             0.76428,             0.44683,            0.039702,            0.010069,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.028591,            0.011353,                   0,             0.82904,             0.76842,             0.77144,             0.46055,            0.036636,           0.0098856,                   0,            0.003994,            0.003994,            0.003994
